监测点id,方向,卡口经度,卡口纬度,2017-05-05 00:00:00-2017-05-05 00:30:00,2017-05-05 00:30:00-2017-05-05 01:00:00,2017-05-05 01:00:00-2017-05-05 01:30:00,2017-05-05 01:30:00-2017-05-05 02:00:00,2017-05-05 02:00:00-2017-05-05 02:30:00,2017-05-05 02:30:00-2017-05-05 03:00:00,2017-05-05 03:00:00-2017-05-05 03:30:00,2017-05-05 03:30:00-2017-05-05 04:00:00,2017-05-05 04:00:00-2017-05-05 04:30:00,2017-05-05 04:30:00-2017-05-05 05:00:00,2017-05-05 05:00:00-2017-05-05 05:30:00,2017-05-05 05:30:00-2017-05-05 06:00:00,2017-05-05 06:00:00-2017-05-05 06:30:00,2017-05-05 06:30:00-2017-05-05 07:00:00,2017-05-05 07:00:00-2017-05-05 07:30:00,2017-05-05 07:30:00-2017-05-05 08:00:00,2017-05-05 08:00:00-2017-05-05 08:30:00,2017-05-05 10:30:00-2017-05-05 11:00:00,2017-05-05 11:00:00-2017-05-05 11:30:00,2017-05-05 12:00:00-2017-05-05 12:30:00,2017-05-05 12:30:00-2017-05-05 13:00:00,2017-05-05 14:00:00-2017-05-05 14:30:00,2017-05-05 15:00:00-2017-05-05 15:30:00,2017-05-05 15:30:00-2017-05-05 16:00:00,2017-05-05 16:30:00-2017-05-05 17:00:00,2017-05-05 17:30:00-2017-05-05 18:00:00,2017-05-05 18:00:00-2017-05-05 18:30:00,2017-05-05 18:30:00-2017-05-05 19:00:00,2017-05-05 19:00:00-2017-05-05 19:30:00,2017-05-05 19:30:00-2017-05-05 20:00:00,2017-05-05 20:00:00-2017-05-05 20:30:00,2017-05-05 20:30:00-2017-05-05 21:00:00,2017-05-05 21:00:00-2017-05-05 21:30:00,2017-05-05 21:30:00-2017-05-05 22:00:00,2017-05-05 22:00:00-2017-05-05 22:30:00,2017-05-05 22:30:00-2017-05-05 23:00:00,2017-05-05 23:00:00-2017-05-05 23:30:00,2017-05-05 23:30:00-2017-05-06 00:00:00
2010089,南行,114.09695,22.55633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010091,西行,114.08656,22.55312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100612,西往东,114.062967,22.543058,484.0,281.0,225.0,206.0,176.0,148.0,165.0,106.0,97.0,72.0,80.0,82.0,91.0,222.0,700.0,1340.0,1598.0,1236.0,1194.0,1032.0,874.0,1362.0,1327.0,1287.0,1227.0,1161.0,1285.0,1153.0,991.0,1023.0,889.0,913.0,938.0,855.0,831.0,631.0,615.0,552.0
2010003,北行,114.069167,22.542778,218.0,188.0,122.0,99.0,84.0,78.0,61.0,64.0,40.0,42.0,40.0,45.0,57.0,148.0,393.0,1076.0,1584.0,941.0,825.0,773.0,595.0,939.0,1082.0,1116.0,1127.0,1095.0,1147.0,1046.0,838.0,717.0,693.0,656.0,676.0,728.0,551.0,444.0,373.0,309.0
2010003,西行,114.069167,22.542778,218.0,188.0,122.0,99.0,84.0,78.0,61.0,64.0,40.0,42.0,40.0,45.0,57.0,148.0,393.0,1076.0,1584.0,941.0,825.0,773.0,595.0,939.0,1082.0,1116.0,1127.0,1095.0,1147.0,1046.0,838.0,717.0,693.0,656.0,676.0,728.0,551.0,444.0,373.0,309.0
10107802,东往西,114.047958,22.518469,219.0,202.0,156.0,154.0,140.0,114.0,111.0,101.0,76.0,75.0,60.0,93.0,109.0,279.0,489.0,618.0,531.0,530.0,541.0,486.0,405.0,590.0,580.0,570.0,576.0,682.0,636.0,524.0,564.0,505.0,638.0,645.0,647.0,549.0,472.0,396.0,367.0,276.0
20104404,西往东,114.039547,22.593369,430.0,371.0,286.0,290.0,237.0,207.0,226.0,186.0,216.0,241.0,283.0,354.0,517.0,682.0,1181.0,1207.0,1106.0,1174.0,846.0,1094.0,1050.0,1084.0,1315.0,1144.0,1240.0,1393.0,1340.0,1389.0,918.0,751.0,1320.0,1179.0,1125.0,1156.0,1022.0,960.0,818.0,724.0
20101816,北往南,114.018817,22.525639,497.0,449.0,303.0,317.0,242.0,187.0,148.0,157.0,151.0,159.0,121.0,134.0,305.0,513.0,856.0,1422.0,1990.0,68.0,74.0,1865.0,1338.0,88.0,85.0,114.0,193.0,1048.0,1378.0,991.0,1214.0,2082.0,3463.0,4086.0,1033.0,908.0,874.0,739.0,672.0,624.0
2010034,东行,114.026839,22.546064,100.0,106.0,78.0,58.0,45.0,34.0,29.0,14.0,24.0,25.0,12.0,25.0,42.0,132.0,501.0,628.0,611.0,631.0,625.0,634.0,538.0,641.0,588.0,590.0,592.0,609.0,659.0,1065.0,948.0,701.0,616.0,537.0,483.0,416.0,382.0,295.0,226.0,196.0
10101001,东往西,114.071097,22.558264,278.0,249.0,185.0,168.0,132.0,118.0,95.0,72.0,86.0,71.0,86.0,153.0,229.0,474.0,1323.0,1657.0,1553.0,1135.0,1189.0,948.0,843.0,1301.0,1211.0,1110.0,1348.0,1268.0,1232.0,1135.0,922.0,898.0,799.0,830.0,907.0,994.0,836.0,558.0,490.0,435.0
10100606,西往东,114.078106,22.543231,639.0,548.0,422.0,365.0,308.0,272.0,258.0,196.0,178.0,131.0,146.0,145.0,193.0,379.0,913.0,1549.0,1528.0,1161.0,928.0,1093.0,1252.0,909.0,1102.0,1139.0,1072.0,1204.0,1237.0,1288.0,1633.0,1538.0,1552.0,1677.0,1967.0,1018.0,0.0,0.0,0.0,0.0
10101302,南往北,114.091236,22.549044,192.0,162.0,143.0,100.0,119.0,82.0,77.0,42.0,48.0,37.0,49.0,47.0,61.0,97.0,471.0,661.0,488.0,657.0,594.0,575.0,524.0,624.0,677.0,736.0,786.0,902.0,905.0,884.0,667.0,610.0,568.0,609.0,514.0,490.0,443.0,389.0,328.0,276.0
2010006,北行,114.06,22.578056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010093,东行,114.08481,22.55563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010097,东行,114.09221,22.54919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101004,西往东,114.094269,22.558394,348.0,268.0,231.0,178.0,163.0,130.0,112.0,100.0,69.0,68.0,74.0,97.0,141.0,329.0,700.0,890.0,873.0,986.0,1001.0,922.0,738.0,1014.0,1043.0,1047.0,1064.0,1035.0,975.0,993.0,915.0,978.0,946.0,898.0,926.0,867.0,843.0,721.0,627.0,505.0
10100603,东往西,114.011211,22.537544,396.0,310.0,233.0,223.0,209.0,132.0,131.0,124.0,129.0,86.0,79.0,94.0,153.0,297.0,858.0,1516.0,2088.0,1630.0,1504.0,1297.0,1030.0,1653.0,1631.0,1565.0,1664.0,1895.0,1840.0,1678.0,1486.0,1275.0,1167.0,1126.0,1202.0,1081.0,1058.0,787.0,602.0,565.0
2010087,北行,114.08148,22.56049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101002,西往东,114.062408,22.558586,5.0,3.0,4.0,1.0,1.0,11.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,16.0,69.0,136.0,193.0,72.0,48.0,30.0,50.0,69.0,86.0,156.0,305.0,261.0,171.0,94.0,67.0,64.0,47.0,64.0,42.0,36.0,31.0,15.0,11.0,8.0
10100203,东往西,114.070733,22.569694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010092,西行,114.08481,22.55563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010094,南行,114.09915,22.55808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010088,西行,114.08113,22.55886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010090,北行,114.09695,22.55633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010005,北行,114.060278,22.5775,180.0,117.0,111.0,80.0,64.0,36.0,42.0,38.0,33.0,36.0,25.0,52.0,113.0,105.0,203.0,306.0,335.0,334.0,390.0,366.0,303.0,416.0,547.0,508.0,504.0,551.0,535.0,488.0,555.0,587.0,629.0,547.0,610.0,484.0,594.0,451.0,359.0,316.0
10100210,西往东,114.006578,22.557022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101301,北往南,114.091069,22.555872,124.0,89.0,93.0,72.0,56.0,32.0,34.0,27.0,31.0,30.0,48.0,62.0,99.0,250.0,700.0,849.0,694.0,598.0,604.0,446.0,417.0,686.0,636.0,582.0,554.0,516.0,523.0,492.0,433.0,409.0,391.0,500.0,584.0,441.0,333.0,295.0,223.0,203.0
10100604,西往东,114.011211,22.537544,3564.0,3507.0,3482.0,3413.0,3412.0,1269.0,145.0,116.0,110.0,109.0,83.0,82.0,163.0,371.0,964.0,1838.0,2583.0,1697.0,1547.0,1310.0,1089.0,1703.0,1804.0,1778.0,1768.0,1779.0,1911.0,1594.0,1386.0,1231.0,1096.0,1086.0,1082.0,964.0,893.0,770.0,625.0,519.0
10100204,西往东,114.059964,22.567103,1153.0,915.0,747.0,598.0,518.0,385.0,412.0,339.0,358.0,373.0,412.0,513.0,771.0,1591.0,3233.0,3338.0,3458.0,1183.0,949.0,4995.0,3899.0,1022.0,823.0,780.0,1027.0,3422.0,4695.0,3491.0,3776.0,5273.0,5701.0,5721.0,5885.0,5539.0,5216.0,2646.0,1930.0,1685.0
2010102,东行,114.09012,22.54922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100403,东往西,114.02785,22.531014,1267.0,976.0,742.0,621.0,553.0,507.0,443.0,350.0,306.0,319.0,384.0,444.0,585.0,937.0,1981.0,3914.0,4752.0,1680.0,1285.0,3086.0,2400.0,1742.0,1779.0,1381.0,2045.0,3758.0,3879.0,3328.0,2847.0,2961.0,2919.0,2844.0,2853.0,2889.0,2708.0,2401.0,2094.0,1780.0
2010021,北行,114.047325,22.590994,261.0,261.0,178.0,117.0,104.0,72.0,85.0,65.0,64.0,60.0,62.0,116.0,276.0,268.0,380.0,589.0,642.0,789.0,773.0,612.0,582.0,761.0,1015.0,968.0,1054.0,865.0,727.0,735.0,865.0,884.0,896.0,847.0,900.0,754.0,840.0,692.0,555.0,504.0
2010100,南行,114.08799,22.54855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010103,西行,114.09081,22.54729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010020,北行,114.059089,22.580614,265.0,267.0,174.0,122.0,107.0,75.0,85.0,74.0,59.0,63.0,65.0,156.0,283.0,291.0,408.0,614.0,647.0,573.0,674.0,622.0,566.0,634.0,873.0,856.0,875.0,897.0,918.0,870.0,870.0,898.0,917.0,889.0,887.0,770.0,857.0,682.0,557.0,506.0
20104605,南往北,114.044289,22.537169,755.0,565.0,425.0,364.0,320.0,292.0,223.0,207.0,159.0,137.0,194.0,303.0,517.0,854.0,1703.0,2214.0,2200.0,2008.0,1993.0,1836.0,1798.0,2052.0,2017.0,1997.0,1967.0,2000.0,2033.0,2098.0,2090.0,2052.0,2036.0,1993.0,2017.0,2056.0,1961.0,1740.0,1423.0,1210.0
20101817,北往南,114.037122,22.515494,310.0,236.0,177.0,175.0,127.0,95.0,74.0,76.0,75.0,89.0,55.0,77.0,184.0,306.0,457.0,596.0,962.0,30.0,63.0,1118.0,845.0,60.0,42.0,78.0,143.0,592.0,885.0,611.0,666.0,1361.0,2274.0,2706.0,704.0,595.0,520.0,446.0,395.0,336.0
10103501,北往南,114.044289,22.537169,430.0,356.0,305.0,267.0,217.0,148.0,136.0,105.0,105.0,109.0,135.0,180.0,315.0,485.0,901.0,1480.0,1769.0,1313.0,1291.0,1252.0,866.0,0.0,0.0,0.0,5431.0,1483.0,1508.0,1395.0,1122.0,1068.0,934.0,1007.0,1092.0,1014.0,1023.0,840.0,712.0,557.0
10107701,西往东,114.044289,22.537169,99.0,86.0,79.0,54.0,57.0,55.0,48.0,35.0,30.0,35.0,24.0,45.0,100.0,271.0,379.0,510.0,508.0,320.0,353.0,287.0,258.0,321.0,326.0,330.0,399.0,440.0,407.0,420.0,397.0,348.0,303.0,287.0,309.0,287.0,270.0,256.0,175.0,150.0
20101813,南往北,114.001756,22.544686,338.0,260.0,174.0,160.0,123.0,101.0,91.0,98.0,119.0,195.0,248.0,309.0,455.0,558.0,764.0,1227.0,1656.0,1141.0,970.0,1471.0,1407.0,1115.0,1120.0,1089.0,1564.0,2147.0,2376.0,2462.0,2245.0,1594.0,1281.0,1223.0,1115.0,1224.0,1222.0,1004.0,1585.0,2167.0
2010125,南行,114.046982,22.590212,179.0,138.0,91.0,45.0,42.0,54.0,38.0,24.0,21.0,29.0,34.0,75.0,216.0,607.0,1835.0,1464.0,1619.0,749.0,542.0,469.0,500.0,718.0,631.0,623.0,628.0,651.0,567.0,530.0,448.0,454.0,450.0,384.0,376.0,348.0,281.0,333.0,306.0,296.0
10107702,东往西,114.044289,22.537169,117.0,93.0,63.0,69.0,66.0,54.0,56.0,45.0,43.0,47.0,35.0,43.0,54.0,204.0,269.0,341.0,328.0,295.0,254.0,285.0,222.0,294.0,282.0,268.0,356.0,416.0,417.0,402.0,359.0,288.0,345.0,274.0,280.0,278.0,256.0,178.0,140.0,123.0
2010035,西行,114.026839,22.546064,116.0,111.0,106.0,82.0,66.0,36.0,44.0,22.0,27.0,25.0,32.0,38.0,51.0,114.0,342.0,642.0,643.0,570.0,523.0,554.0,445.0,585.0,618.0,633.0,807.0,833.0,981.0,891.0,652.0,566.0,576.0,532.0,524.0,458.0,415.0,328.0,252.0,229.0
2010110,东行,114.08638,22.55809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010131,西往东,114.026076,22.534194,927.0,770.0,574.0,522.0,442.0,368.0,254.0,244.0,260.0,184.0,214.0,277.0,442.0,829.0,1950.0,3566.0,3669.0,3221.0,2307.0,2498.0,2378.0,3226.0,3543.0,3300.0,3403.0,3608.0,3864.0,3547.0,3185.0,2866.0,2766.0,2621.0,2652.0,2701.0,2494.0,2153.0,1835.0,1635.0
2010140,东行,114.076925,22.52203,83.0,75.0,70.0,57.0,52.0,43.0,32.0,39.0,30.0,27.0,25.0,38.0,115.0,400.0,380.0,245.0,236.0,283.0,301.0,255.0,309.0,267.0,308.0,325.0,362.0,366.0,302.0,352.0,313.0,290.0,299.0,313.0,291.0,299.0,241.0,166.0,130.0,104.0
2010085,西行,114.07543,22.55168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010002,西行,114.070278,22.542778,217.0,189.0,118.0,98.0,86.0,79.0,63.0,65.0,37.0,43.0,42.0,45.0,59.0,146.0,386.0,1078.0,1598.0,940.0,834.0,772.0,604.0,958.0,1079.0,1113.0,1128.0,1100.0,1134.0,1044.0,832.0,722.0,696.0,652.0,662.0,713.0,554.0,440.0,370.0,302.0
20104606,北行,114.013408,22.590289,282.0,206.0,165.0,146.0,130.0,112.0,81.0,79.0,57.0,47.0,79.0,126.0,242.0,357.0,785.0,939.0,807.0,849.0,825.0,768.0,783.0,866.0,820.0,819.0,782.0,846.0,926.0,976.0,964.0,906.0,830.0,861.0,850.0,844.0,856.0,756.0,599.0,522.0
2010007,北行,114.06,22.578333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010004,南行,114.070556,22.542778,219.0,186.0,117.0,94.0,83.0,75.0,62.0,64.0,40.0,45.0,40.0,46.0,54.0,150.0,390.0,1055.0,1578.0,953.0,839.0,777.0,606.0,936.0,1088.0,1119.0,1124.0,1103.0,1143.0,1049.0,829.0,714.0,681.0,639.0,653.0,718.0,539.0,439.0,367.0,304.0
2010004,西行,114.070556,22.542778,219.0,186.0,117.0,94.0,83.0,75.0,62.0,64.0,40.0,45.0,40.0,46.0,54.0,150.0,390.0,1055.0,1578.0,953.0,839.0,777.0,606.0,936.0,1088.0,1119.0,1124.0,1103.0,1143.0,1049.0,829.0,714.0,681.0,639.0,653.0,718.0,539.0,439.0,367.0,304.0
2010099,西行,114.08937,22.55161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010101,东行,114.07691,22.54695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100211,东往西,114.006578,22.557022,1062.0,961.0,948.0,974.0,970.0,1235.0,1155.0,1389.0,1525.0,1271.0,1086.0,1002.0,990.0,1377.0,2646.0,3806.0,3459.0,2561.0,2058.0,2777.0,2389.0,2447.0,2450.0,2615.0,3317.0,3002.0,2995.0,3115.0,2779.0,2135.0,1699.0,1913.0,2373.0,2111.0,2207.0,1917.0,1616.0,1361.0
2010096,西行,114.09221,22.54919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010098,西行,114.08325,22.55179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010106,北行,114.08409,22.55122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010109,北行,114.08792,22.55052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010095,东行,114.09068,22.55418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20104607,北往南,114.012122,22.567686,419.0,338.0,239.0,249.0,222.0,193.0,159.0,153.0,116.0,164.0,178.0,303.0,593.0,1322.0,2156.0,2090.0,2058.0,1885.0,1794.0,1512.0,1421.0,2097.0,2084.0,1999.0,1885.0,2029.0,2113.0,1903.0,1808.0,1700.0,1646.0,1408.0,1383.0,1200.0,1174.0,1061.0,928.0,799.0
20100306,北往南,114.050708,22.589167,969.0,832.0,628.0,510.0,440.0,364.0,315.0,282.0,275.0,284.0,337.0,460.0,938.0,2164.0,2729.0,2418.0,2030.0,2394.0,2245.0,2107.0,2189.0,2899.0,2714.0,2643.0,2345.0,2341.0,2524.0,2539.0,2291.0,2170.0,2128.0,1888.0,1831.0,1842.0,1558.0,1605.0,1362.0,1395.0
20101812,南往北,114.030633,22.519039,159.0,140.0,82.0,70.0,66.0,57.0,48.0,49.0,71.0,115.0,138.0,178.0,268.0,336.0,410.0,651.0,1014.0,954.0,814.0,879.0,877.0,1007.0,1171.0,1361.0,1784.0,1173.0,1213.0,1235.0,953.0,852.0,676.0,667.0,556.0,512.0,481.0,386.0,302.0,252.0
10107801,西往东,114.047958,22.518469,183.0,164.0,148.0,136.0,123.0,99.0,91.0,77.0,61.0,52.0,52.0,74.0,152.0,347.0,603.0,796.0,761.0,553.0,482.0,493.0,414.0,549.0,523.0,534.0,588.0,620.0,615.0,586.0,502.0,474.0,465.0,485.0,482.0,393.0,419.0,381.0,304.0,260.0
2010138,北行,114.029202,22.555682,853.0,563.0,451.0,342.0,308.0,304.0,230.0,189.0,161.0,181.0,207.0,247.0,364.0,633.0,1454.0,2294.0,1824.0,3819.0,2168.0,2275.0,1949.0,2320.0,2324.0,2106.0,1805.0,1538.0,1281.0,1484.0,1587.0,1652.0,1747.0,1881.0,1832.0,2092.0,1986.0,1647.0,1419.0,1198.0
2010086,南行,114.08148,22.56049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103502,南往北,114.044289,22.537169,406.0,343.0,268.0,213.0,201.0,195.0,164.0,107.0,109.0,117.0,130.0,172.0,218.0,465.0,1170.0,1785.0,2112.0,1272.0,1185.0,1018.0,948.0,1380.0,1429.0,1450.0,1399.0,1417.0,1358.0,1360.0,1133.0,1091.0,1013.0,1063.0,997.0,983.0,883.0,803.0,673.0,598.0
2010137,南行,114.029202,22.555682,467.0,425.0,342.0,298.0,244.0,232.0,195.0,199.0,162.0,199.0,236.0,315.0,560.0,1252.0,1630.0,1442.0,1456.0,3163.0,1886.0,1824.0,1832.0,1686.0,2197.0,1953.0,2376.0,2250.0,1977.0,2294.0,2198.0,2026.0,1835.0,1537.0,1448.0,1349.0,1248.0,1140.0,955.0,878.0
2010392,东行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010375,南行,114.093587,22.538238,124.0,107.0,89.0,91.0,75.0,65.0,52.0,51.0,47.0,44.0,49.0,59.0,65.0,86.0,107.0,142.0,125.0,205.0,170.0,139.0,154.0,151.0,171.0,160.0,174.0,142.0,131.0,141.0,135.0,118.0,166.0,185.0,187.0,192.0,193.0,180.0,197.0,144.0
2010141,西行,114.076507,22.52286,167.0,125.0,124.0,89.0,108.0,85.0,58.0,57.0,60.0,48.0,49.0,53.0,105.0,443.0,461.0,352.0,376.0,321.0,392.0,343.0,376.0,432.0,448.0,454.0,544.0,553.0,545.0,529.0,509.0,465.0,481.0,491.0,457.0,469.0,408.0,320.0,254.0,202.0
2010388,北行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010387,北行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010386,南行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010108,南行,114.08792,22.55052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100301,南往北,114.049897,22.590267,1242.0,931.0,817.0,667.0,550.0,467.0,423.0,354.0,323.0,306.0,374.0,420.0,537.0,835.0,1731.0,2398.0,2285.0,2445.0,2427.0,2225.0,2177.0,2298.0,2702.0,2757.0,2536.0,2955.0,2994.0,2653.0,2573.0,2679.0,2665.0,2625.0,2504.0,2514.0,2447.0,2366.0,1996.0,1795.0
10100205,东往西,114.045089,22.565139,826.0,680.0,574.0,512.0,397.0,380.0,379.0,314.0,356.0,377.0,502.0,561.0,856.0,1507.0,2822.0,3582.0,3428.0,1238.0,865.0,4681.0,3754.0,1219.0,1314.0,1001.0,1459.0,4202.0,5053.0,3802.0,4001.0,4939.0,4981.0,4685.0,4861.0,4793.0,2619.0,1731.0,1437.0,1201.0
10100206,西往东,114.036178,22.562631,1043.0,848.0,673.0,534.0,473.0,309.0,353.0,304.0,312.0,322.0,350.0,488.0,716.0,1577.0,3328.0,3610.0,3667.0,947.0,746.0,4690.0,3615.0,855.0,616.0,514.0,827.0,2923.0,4198.0,3284.0,3613.0,5052.0,5219.0,5266.0,5394.0,5285.0,4806.0,4999.0,4749.0,4538.0
2010107,东行,114.08226,22.55155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010397,西行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010105,北行,114.07932,22.54341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20104403,东往西,114.039547,22.593369,704.0,612.0,510.0,435.0,384.0,375.0,382.0,357.0,338.0,432.0,482.0,703.0,1166.0,2085.0,2572.0,2688.0,2350.0,2419.0,1858.0,2122.0,2354.0,2338.0,2673.0,2462.0,2637.0,2671.0,2609.0,2843.0,2641.0,2224.0,2527.0,2156.0,2131.0,1850.0,1660.0,1520.0,1242.0,986.0
10100405,东往西,114.072789,22.532031,8559.0,8399.0,8403.0,8265.0,8273.0,8540.0,8547.0,3986.0,570.0,618.0,669.0,794.0,979.0,1345.0,2403.0,3748.0,4520.0,3357.0,3181.0,2746.0,2619.0,3618.0,3779.0,3716.0,3751.0,3976.0,3786.0,3434.0,2870.0,2854.0,2842.0,2803.0,2972.0,2915.0,2712.0,2575.0,2497.0,2283.0
10100406,西往东,114.064156,22.531783,4472.0,4191.0,1208.0,1122.0,950.0,854.0,779.0,631.0,628.0,556.0,631.0,703.0,991.0,1597.0,2919.0,4300.0,4361.0,429.0,323.0,2832.0,2297.0,541.0,389.0,363.0,548.0,1772.0,2771.0,2018.0,2569.0,4431.0,5373.0,5588.0,5702.0,5426.0,4983.0,5274.0,5156.0,4980.0
10103901,西往东,114.067892,22.523333,401.0,414.0,361.0,354.0,289.0,264.0,238.0,199.0,192.0,211.0,253.0,297.0,349.0,343.0,313.0,342.0,267.0,1725.0,194.0,193.0,242.0,214.0,194.0,207.0,209.0,202.0,243.0,283.0,346.0,353.0,358.0,363.0,285.0,174.0,0.0,0.0,0.0,0.0
10100407,东往西,114.086256,22.537492,1281.0,1043.0,952.0,850.0,643.0,660.0,560.0,511.0,484.0,561.0,599.0,677.0,800.0,1058.0,1849.0,1844.0,1539.0,5354.0,1163.0,1285.0,1390.0,1374.0,2079.0,2005.0,2022.0,1876.0,2056.0,2255.0,1974.0,2176.0,2151.0,2129.0,2234.0,1267.0,0.0,0.0,0.0,0.0
10100408,西往东,114.086256,22.537492,861.0,808.0,729.0,648.0,590.0,465.0,421.0,390.0,410.0,327.0,365.0,425.0,506.0,739.0,1297.0,1278.0,1085.0,3848.0,880.0,930.0,940.0,648.0,935.0,1090.0,1014.0,1035.0,1248.0,1640.0,2292.0,1964.0,1853.0,1884.0,2027.0,1122.0,0.0,0.0,0.0,0.0
2010396,东行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010391,南行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010390,北行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010389,西行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010395,西行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010394,东行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010393,西行,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100610,西往东,114.041969,22.542617,315.0,261.0,207.0,208.0,158.0,106.0,133.0,79.0,79.0,64.0,55.0,55.0,89.0,213.0,487.0,1065.0,1487.0,1899.0,1182.0,862.0,766.0,1315.0,1311.0,1219.0,1282.0,1062.0,1045.0,1018.0,969.0,857.0,754.0,768.0,834.0,708.0,622.0,587.0,529.0,417.0
10100609,东往西,114.045606,22.542711,310.0,201.0,162.0,98.0,125.0,78.0,80.0,73.0,46.0,53.0,41.0,56.0,73.0,169.0,451.0,1147.0,1464.0,1623.0,1069.0,940.0,679.0,963.0,1277.0,1293.0,1367.0,1505.0,1336.0,1334.0,1008.0,857.0,755.0,731.0,717.0,648.0,643.0,468.0,394.0,335.0
10101202,西往东,114.065664,22.551086,192.0,168.0,139.0,78.0,50.0,70.0,59.0,44.0,33.0,30.0,44.0,65.0,73.0,203.0,318.0,668.0,698.0,662.0,549.0,497.0,453.0,645.0,534.0,583.0,455.0,556.0,620.0,543.0,530.0,559.0,428.0,489.0,482.0,283.0,0.0,0.0,0.0,0.0
10101201,东往西,114.069239,22.551206,261.0,145.0,171.0,140.0,102.0,76.0,83.0,51.0,58.0,58.0,79.0,99.0,159.0,309.0,444.0,613.0,600.0,1432.0,745.0,590.0,604.0,838.0,818.0,820.0,667.0,746.0,704.0,539.0,562.0,634.0,568.0,563.0,549.0,594.0,516.0,440.0,368.0,328.0
10104301,南行,114.063489,22.518983,154.0,112.0,110.0,86.0,89.0,74.0,57.0,50.0,57.0,41.0,46.0,55.0,127.0,437.0,470.0,357.0,317.0,663.0,447.0,396.0,397.0,454.0,527.0,479.0,559.0,425.0,404.0,464.0,486.0,477.0,446.0,436.0,444.0,332.0,213.0,175.0,151.0,125.0
10100404,西往东,114.022772,22.532142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,708.0,715.0,890.0,2490.0,2418.0,3160.0,2914.0,3751.0,3623.0,3941.0,3408.0,3738.0,3676.0,2305.0,1963.0,1760.0
